"brand","generation","modelName","socket","cores","thread","baseClockGhz","boostClockGhz","integratedGraphics","memorySupport","launchYear","price","stocks"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10100","LGA1200","4","8","3.6","4.3","UHD Graphics 630","DDR4-2666","2020","8760","3"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10100F","LGA1200","4","8","3.6","4.3","None","DDR4-2666","2020","8760","23"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10105","LGA1200","4","8","3.7","4.4","UHD Graphics 630","DDR4-2666","2021","8840","8"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10105F","LGA1200","4","8","3.7","4.4","None","DDR4-2666","2021","8840","3"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10300","LGA1200","4","8","3.7","4.4","UHD Graphics 630","DDR4-2666","2020","8840","5"
"Intel","10th Gen Core (Comet Lake-S)","Core i3-10320","LGA1200","4","8","3.8","4.6","UHD Graphics 630","DDR4-2666","2020","8960","7"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10400","LGA1200","6","12","2.9","4.3","UHD Graphics 630","DDR4-2666","2020","9780","8"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10400F","LGA1200","6","12","2.9","4.3","None","DDR4-2666","2020","9780","3"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10500","LGA1200","6","12","3.1","4.5","UHD Graphics 630","DDR4-2666","2020","9940","9"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10600","LGA1200","6","12","3.3","4.8","UHD Graphics 630","DDR4-2666","2020","10140","10"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10600K","LGA1200","6","12","4.1","4.8","UHD Graphics 630","DDR4-2666","2020","10460","10"
"Intel","10th Gen Core (Comet Lake-S)","Core i5-10600KF","LGA1200","6","12","4.1","4.8","None","DDR4-2666","2020","10460","5"
"Intel","10th Gen Core (Comet Lake-S)","Core i7-10700","LGA1200","8","16","2.9","4.8","UHD Graphics 630","DDR4-2933","2020","11280","13"
"Intel","10th Gen Core (Comet Lake-S)","Core i7-10700F","LGA1200","8","16","2.9","4.8","None","DDR4-2933","2020","11280","8"
"Intel","10th Gen Core (Comet Lake-S)","Core i7-10700K","LGA1200","8","16","3.8","5.1","UHD Graphics 630","DDR4-2933","2020","11760","13"
"Intel","10th Gen Core (Comet Lake-S)","Core i7-10700KF","LGA1200","8","16","3.8","5.1","None","DDR4-2933","2020","11760","8"
"Intel","10th Gen Core (Comet Lake-S)","Core i9-10850K","LGA1200","10","20","3.6","5.2","UHD Graphics 630","DDR4-2933","2020","13020","21"
"Intel","10th Gen Core (Comet Lake-S)","Core i9-10900","LGA1200","10","20","2.8","5.2","UHD Graphics 630","DDR4-2933","2020","12700","17"
"Intel","10th Gen Core (Comet Lake-S)","Core i9-10900F","LGA1200","10","20","2.8","5.2","None","DDR4-2933","2020","12700","12"
"Intel","10th Gen Core (Comet Lake-S)","Core i9-10900K","LGA1200","10","20","3.7","5.3","UHD Graphics 630","DDR4-2933","2020","13100","17"
"Intel","10th Gen Core (Comet Lake-S)","Core i9-10900KF","LGA1200","10","20","3.7","5.3","None","DDR4-2933","2020","13100","12"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11400","LGA1200","6","12","2.6","4.4","UHD Graphics 730","DDR4-3200","2021","9700","9"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11400F","LGA1200","6","12","2.6","4.4","None","DDR4-3200","2021","9700","4"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11500","LGA1200","6","12","2.7","4.6","UHD Graphics 750","DDR4-3200","2021","9820","10"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11600","LGA1200","6","12","2.8","4.8","UHD Graphics 750","DDR4-3200","2021","9940","11"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11600K","LGA1200","6","12","3.9","4.9","UHD Graphics 750","DDR4-3200","2021","10420","11"
"Intel","11th Gen Core (Rocket Lake-S)","Core i5-11600KF","LGA1200","6","12","3.9","4.9","None","DDR4-3200","2021","10420","6"
"Intel","11th Gen Core (Rocket Lake-S)","Core i7-11700","LGA1200","8","16","2.5","4.9","UHD Graphics 750","DDR4-3200","2021","11160","14"
"Intel","11th Gen Core (Rocket Lake-S)","Core i7-11700F","LGA1200","8","16","2.5","4.9","None","DDR4-3200","2021","11160","9"
"Intel","11th Gen Core (Rocket Lake-S)","Core i7-11700K","LGA1200","8","16","3.6","5.0","UHD Graphics 750","DDR4-3200","2021","11640","14"
"Intel","11th Gen Core (Rocket Lake-S)","Core i7-11700KF","LGA1200","8","16","3.6","5.0","None","DDR4-3200","2021","11640","9"
"Intel","11th Gen Core (Rocket Lake-S)","Core i9-11900","LGA1200","8","16","2.5","5.2","UHD Graphics 750","DDR4-3200","2021","11280","18"
"Intel","11th Gen Core (Rocket Lake-S)","Core i9-11900F","LGA1200","8","16","2.5","5.2","None","DDR4-3200","2021","11280","13"
"Intel","11th Gen Core (Rocket Lake-S)","Core i9-11900K","LGA1200","8","16","3.5","5.3","UHD Graphics 750","DDR4-3200","2021","11720","18"
"Intel","11th Gen Core (Rocket Lake-S)","Core i9-11900KF","LGA1200","8","16","3.5","5.3","None","DDR4-3200","2021","11720","13"
"Intel","12th Gen Core (Alder Lake-S)","Core i3-12100","LGA1700","4","8","3.3","4.3","UHD Graphics 730","DDR4-3200 / DDR5-4800","2022","8640","5"
"Intel","12th Gen Core (Alder Lake-S)","Core i3-12100F","LGA1700","4","8","3.3","4.3","None","DDR4-3200 / DDR5-4800","2022","8640","25"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12400","LGA1700","6","12","2.5","4.4","UHD Graphics 730","DDR4-3200 / DDR5-4800","2022","9660","10"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12400F","LGA1700","6","12","2.5","4.4","None","DDR4-3200 / DDR5-4800","2022","9660","5"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12500","LGA1700","6","12","3.0","4.6","UHD Graphics 770","DDR4-3200 / DDR5-4800","2022","9940","11"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12600","LGA1700","6","12","3.3","4.8","UHD Graphics 770","DDR4-3200 / DDR5-4800","2022","10140","12"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12600K","LGA1700","10","16","3.7","4.9","UHD Graphics 770","DDR4-3200 / DDR5-4800","2021","12340","12"
"Intel","12th Gen Core (Alder Lake-S)","Core i5-12600KF","LGA1700","10","16","3.7","4.9","None","DDR4-3200 / DDR5-4800","2021","12340","7"
"Intel","12th Gen Core (Alder Lake-S)","Core i7-12700","LGA1700","12","20","2.1","4.9","UHD Graphics 770","DDR4-3200 / DDR5-4800","2022","13000","15"
"Intel","12th Gen Core (Alder Lake-S)","Core i7-12700F","LGA1700","12","20","2.1","4.9","None","DDR4-3200 / DDR5-4800","2022","13000","10"
"Intel","12th Gen Core (Alder Lake-S)","Core i7-12700K","LGA1700","12","20","3.6","5.0","UHD Graphics 770","DDR4-3200 / DDR5-4800","2021","13640","15"
"Intel","12th Gen Core (Alder Lake-S)","Core i7-12700KF","LGA1700","12","20","3.6","5.0","None","DDR4-3200 / DDR5-4800","2021","13640","10"
"Intel","12th Gen Core (Alder Lake-S)","Core i9-12900","LGA1700","16","24","2.4","5.1","UHD Graphics 770","DDR4-3200 / DDR5-4800","2022","15200","19"
"Intel","12th Gen Core (Alder Lake-S)","Core i9-12900F","LGA1700","16","24","2.4","5.1","None","DDR4-3200 / DDR5-4800","2022","15200","14"
"Intel","12th Gen Core (Alder Lake-S)","Core i9-12900K","LGA1700","16","24","3.2","5.2","UHD Graphics 770","DDR4-3200 / DDR5-4800","2021","15560","19"
"Intel","12th Gen Core (Alder Lake-S)","Core i9-12900KF","LGA1700","16","24","3.2","5.2","None","DDR4-3200 / DDR5-4800","2021","15560","14"
"Intel","12th Gen Core (Alder Lake-S)","Core i9-12900KS","LGA1700","16","24","3.4","5.5","UHD Graphics 770","DDR4-3200 / DDR5-4800","2022","15760","27"
"Intel","13th Gen Core (Raptor Lake-S)","Core i3-13100","LGA1700","4","8","3.4","4.5","UHD Graphics 730","DDR4-3200 / DDR5-4800","2023","8760","6"
"Intel","13th Gen Core (Raptor Lake-S)","Core i3-13100F","LGA1700","4","8","3.4","4.5","None","DDR4-3200 / DDR5-4800","2023","8760","26"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13400","LGA1700","10","16","2.5","4.6","UHD Graphics 730","DDR4-3200 / DDR5-4800","2023","11740","11"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13400F","LGA1700","10","16","2.5","4.6","None","DDR4-3200 / DDR5-4800","2023","11740","6"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13500","LGA1700","14","20","2.5","4.8","UHD Graphics 770","DDR4-3200 / DDR5-4800","2023","13820","12"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13600","LGA1700","14","20","2.7","5.0","UHD Graphics 770","DDR4-3200 / DDR5-4800","2023","13980","13"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13600K","LGA1700","14","20","3.5","5.1","UHD Graphics 770","DDR4-3200 / DDR5-5600","2022","14340","13"
"Intel","13th Gen Core (Raptor Lake-S)","Core i5-13600KF","LGA1700","14","20","3.5","5.1","None","DDR4-3200 / DDR5-5600","2022","14340","8"
"Intel","13th Gen Core (Raptor Lake-S)","Core i7-13700","LGA1700","16","24","2.1","5.2","UHD Graphics 770","DDR4-3200 / DDR5-5600","2023","15120","16"
"Intel","13th Gen Core (Raptor Lake-S)","Core i7-13700F","LGA1700","16","24","2.1","5.2","None","DDR4-3200 / DDR5-5600","2023","15120","11"
"Intel","13th Gen Core (Raptor Lake-S)","Core i7-13700K","LGA1700","16","24","3.4","5.4","UHD Graphics 770","DDR4-3200 / DDR5-5600","2022","15720","16"
"Intel","13th Gen Core (Raptor Lake-S)","Core i7-13700KF","LGA1700","16","24","3.4","5.4","None","DDR4-3200 / DDR5-5600","2022","15720","11"
