"brand","modelName","chipset","socket","cpuPlatform","formFactor","memoryType","ramSlots","maxRam","m2Slots","pcieVersion","notableFeatures","price","stocks"
"ASUS","PRIME H510M-E","H510","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0 (11th Gen)","Entry office board, no OC","3250","19"
"ASUS","TUF Gaming B560M-PLUS","B560","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0 (11th Gen)","Memory OC, 2.5G LAN on some SKUs","4300","8"
"ASUS","ROG STRIX Z590-E Gaming WiFi","Z590","LGA1200","Intel 10th/11th Gen","ATX","DDR4","4","128 GB","3","PCIe 4.0 (11th Gen)","CPU OC, WiFi 6E, 2.5G LAN","4750","12"
"MSI","H510M-A PRO","H510","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0 (11th Gen)","Budget build board","3250","17"
"MSI","MAG B560M MORTAR WIFI","B560","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0 (11th Gen)","WiFi 6, 2.5G LAN","4300","14"
"MSI","MPG Z490 GAMING PLUS","Z490","LGA1200","Intel 10th/11th Gen","ATX","DDR4","4","128 GB","2","PCIe 3.0","CPU OC, 2.5G LAN","4300","15"
"Gigabyte","H410M H V2","H410","LGA1200","Intel 10th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 3.0","Entry-level, 10th Gen only","3250","9"
"Gigabyte","B560M DS3H","B560","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0 (11th Gen)","Value mainstream board","4300","18"
"Gigabyte","Z590 AORUS ELITE AX","Z590","LGA1200","Intel 10th/11th Gen","ATX","DDR4","4","128 GB","3","PCIe 4.0 (11th Gen)","CPU OC, WiFi 6, 2.5G LAN","4750","26"
"ASRock","B560M-HDV","B560","LGA1200","Intel 10th/11th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0 (11th Gen)","Budget SI board","3250","18"
"ASUS","PRIME H610M-E D4","H610","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0","Entry board, no OC","3250","22"
"ASUS","PRIME B760M-A WIFI D4","B760","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","WiFi 6, memory OC","4300","3"
"ASUS","TUF Gaming B760-PLUS WIFI","B760","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","3","PCIe 4.0","WiFi 6, 2.5G LAN, PCIe 4.0 M.2","4750","18"
"ASUS","ROG STRIX B660-A GAMING WIFI D4","B660","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR4","4","128 GB","3","PCIe 5.0","PCIe 5.0 x16, WiFi 6","4750","10"
"ASUS","ROG STRIX Z790-E GAMING WIFI II","Z790","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","5","PCIe 5.0","CPU OC, WiFi 7, Thunderbolt 4","7150","18"
"ASUS","ROG MAXIMUS Z790 HERO","Z790","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","5","PCIe 5.0","High-end VRM, Thunderbolt 4, WiFi 6E","7150","21"
"MSI","PRO H610M-G DDR4","H610","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","2","64 GB","1","PCIe 4.0","Office / SI board","3250","26"
"MSI","PRO B760M-A WIFI DDR4","B760","LGA1700","Intel 12th/13th/14th Gen","Micro-ATX","DDR4","4","128 GB","2","PCIe 4.0","WiFi 6E, 2.5G LAN","4300","5"
"MSI","MAG B760 TOMAHAWK WIFI","B760","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","3","PCIe 4.0","Strong VRM, WiFi 6E, 2.5G LAN","4750","24"
"MSI","MPG Z790 EDGE WIFI","Z790","LGA1700","Intel 12th/13th/14th Gen","ATX","DDR5","4","192 GB","4","PCIe 5.0","CPU OC, WiFi 6E, PCIe 5.0 M.2","6700","14"
"MSI","MEG Z790 ACE","Z790","LGA1700","Intel 12th/13th/14th Gen","E-ATX","DDR5","4","192 GB","5","PCIe 5.0","Flagship VRM, Thunderbolt 4, 10G LAN","7150","17"
