"brand","modelName","type","kitCapacity","moduleConfig","speedMts","casLatency","voltage","rgb","typicalUse","price","stocks"
"Kingston","FURY Beast DDR4","DDR4","8 GB","1 x 8 GB","3200","CL16","1.35","No","Budget builds / office upgrades","3040","27"
"Kingston","FURY Beast DDR4","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Mainstream gaming","4160","27"
"Kingston","FURY Beast DDR4 RGB","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","Yes","Gaming / streaming","6640","3"
"Kingston","FURY Renegade DDR4","DDR4","32 GB","2 x 16 GB","3600","CL16","1.35","Optional","Enthusiast / OC","6640","27"
"Kingston","ValueRAM","DDR4","8 GB","1 x 8 GB","2666","CL19","1.2","No","Office / SI builds","2720","5"
"Corsair","Vengeance LPX","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Low-profile, air-cooler friendly","4160","9"
"Corsair","Vengeance LPX","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","No","Mainstream / workstation","6640","9"
"Corsair","Vengeance RGB PRO","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","Yes","Show builds","6640","7"
"Corsair","Dominator Platinum RGB","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","Yes","Premium enthusiast","6640","16"
"G.Skill","Ripjaws V","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Best-value mainstream kit","4160","9"
"G.Skill","Ripjaws V","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","No","Gaming / editing","6640","9"
"G.Skill","Trident Z Neo","DDR4","32 GB","2 x 16 GB","3600","CL16","1.35","Yes","Ryzen-optimised, Samsung B-die SKUs","6640","4"
"G.Skill","Trident Z RGB","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","Yes","Gaming / RGB builds","4160","8"
"Crucial","Ballistix","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Discontinued but common in market","4160","24"
"Crucial","Crucial DDR4 UDIMM","DDR4","8 GB","1 x 8 GB","3200","CL22","1.2","No","OEM / laptop-style upgrade","3040","5"
"TeamGroup","T-FORCE Vulcan Z","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Budget gaming","4160","10"
"TeamGroup","T-FORCE Delta RGB","DDR4","32 GB","2 x 16 GB","3600","CL18","1.35","Yes","RGB builds","6640","12"
"Patriot","Viper Steel","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Value enthusiast","4160","25"
"Patriot","Viper Steel RGB","DDR4","32 GB","2 x 16 GB","3600","CL20","1.35","Yes","RGB gaming","6640","26"
"ADATA / XPG","XPG GAMMIX D30","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","No","Budget gaming","4160","20"
"ADATA / XPG","XPG SPECTRIX D60G","DDR4","16 GB","2 x 8 GB","3200","CL16","1.35","Yes","RGB builds","4160","19"
"Kingston","FURY Beast DDR5","DDR5","16 GB","1 x 16 GB","5200","CL40","1.25","No","Entry DDR5 / single-stick start","5360","3"
"Kingston","FURY Beast DDR5","DDR5","32 GB","2 x 16 GB","6000","CL36","1.35","No","AM5 / LGA1700 sweet spot","8080","3"
"Kingston","FURY Beast DDR5 RGB","DDR5","32 GB","2 x 16 GB","6000","CL36","1.35","Yes","Gaming with RGB","8080","4"
"Kingston","FURY Renegade DDR5","DDR5","32 GB","2 x 16 GB","6400","CL32","1.4","Optional","Enthusiast tuned kit","8320","3"
"Corsair","Vengeance DDR5","DDR5","32 GB","2 x 16 GB","5600","CL36","1.25","No","Mainstream DDR5","7840","11"
"Corsair","Vengeance DDR5","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","No","AMD EXPO / Intel XMP sweet spot","8080","11"
"Corsair","Vengeance RGB DDR5","DDR5","32 GB","2 x 16 GB","6000","CL36","1.35","Yes","RGB gaming builds","8080","12"
"Corsair","Dominator Titanium DDR5","DDR5","64 GB","2 x 32 GB","6600","CL32","1.4","Yes","Premium enthusiast / workstation","12920","19"
"G.Skill","Flare X5","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","No","AMD EXPO optimised for AM5","8080","18"
"G.Skill","Trident Z5 RGB","DDR5","32 GB","2 x 16 GB","6400","CL32","1.4","Yes","High-end Intel XMP","8320","11"
"G.Skill","Trident Z5 Neo RGB","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","Yes","AM5 EXPO enthusiast pick","8080","8"
"G.Skill","Ripjaws S5","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","No","Low-profile DDR5","8080","9"
"Crucial","Crucial DDR5 UDIMM","DDR5","32 GB","2 x 16 GB","5600","CL46","1.1","No","OEM / office DDR5","7840","6"
"Crucial","Crucial Pro DDR5","DDR5","32 GB","2 x 16 GB","6000","CL36","1.35","No","Value overclock kit","8080","6"
"TeamGroup","T-FORCE Delta RGB DDR5","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","Yes","RGB gaming","8080","15"
"TeamGroup","T-FORCE Vulcan DDR5","DDR5","32 GB","2 x 16 GB","6000","CL38","1.25","No","Budget DDR5","8080","16"
"Patriot","Viper Venom DDR5","DDR5","32 GB","2 x 16 GB","6000","CL36","1.35","No","Value enthusiast DDR5","8080","11"
"Patriot","Viper Venom RGB DDR5","DDR5","32 GB","2 x 16 GB","6200","CL40","1.35","Yes","RGB gaming","8200","12"
"ADATA / XPG","XPG Lancer DDR5","DDR5","32 GB","2 x 16 GB","6000","CL30","1.35","No","Mainstream DDR5","8080","20"
"ADATA / XPG","XPG Lancer RGB DDR5","DDR5","32 GB","2 x 16 GB","6400","CL32","1.4","Yes","RGB enthusiast","8320","21"
