"brand","modelName","category","formFactor","interfaceType","capacities","seqReadMbs","seqWriteMbs","dramCache","warranty","typicalUse","price","stocks"
"Samsung","970 EVO Plus","NVMe SSD","M.2 2280","PCIe 3.0 x4","250 GB - 2 TB","3500","3300","Yes","5 years","Reliable mainstream OS drive","3280","14"
"Western Digital","WD Blue SN570","NVMe SSD","M.2 2280","PCIe 3.0 x4","250 GB - 2 TB","3500","3000","No (HMB)","5 years","Value OS / general storage","3175","8"
"Western Digital","WD Black SN770","NVMe SSD","M.2 2280","PCIe 4.0 x4","250 GB - 2 TB","5150","4900","No (HMB)","5 years","Gaming, no DRAM but fast","4420","20"
"Crucial","P3 Plus","NVMe SSD","M.2 2280","PCIe 4.0 x4","500 GB - 4 TB","5000","4200","No (HMB)","5 years","Budget capacity drive","4120","17"
"Kingston","NV2","NVMe SSD","M.2 2280","PCIe 4.0 x4","250 GB - 4 TB","3500","2800","No (HMB)","3 years","Budget bulk storage (variable NAND)","3105","11"
"Kingston","KC3000","NVMe SSD","M.2 2280","PCIe 4.0 x4","512 GB - 4 TB","7000","7000","Yes","5 years","High-end workload drive","5800","9"
"Samsung","980 PRO","NVMe SSD","M.2 2280","PCIe 4.0 x4","250 GB - 2 TB","7000","5100","Yes","5 years","High-end gaming / editing","5135","20"
"Samsung","990 PRO","NVMe SSD","M.2 2280","PCIe 4.0 x4","1 TB - 4 TB","7450","6900","Yes","5 years","Flagship PCIe 4.0","5920","21"
"Samsung","990 EVO Plus","NVMe SSD","M.2 2280","PCIe 4.0 x4 / 5.0 x2","1 TB - 4 TB","7250","6300","No (HMB)","5 years","Mainstream high-speed","5640","16"
"Western Digital","WD Black SN850X","NVMe SSD","M.2 2280","PCIe 4.0 x4","1 TB - 8 TB","7300","6600","Yes","5 years","Top-tier gaming drive","5765","7"
"Crucial","T500","NVMe SSD","M.2 2280","PCIe 4.0 x4","500 GB - 4 TB","7400","7000","Yes","5 years","Value flagship PCIe 4.0","5940","17"
"Seagate","FireCuda 530","NVMe SSD","M.2 2280","PCIe 4.0 x4","500 GB - 4 TB","7300","6900","Yes","5 years","High endurance gaming","5870","5"
"ADATA / XPG","XPG GAMMIX S70 BLADE","NVMe SSD","M.2 2280","PCIe 4.0 x4","512 GB - 4 TB","7400","6800","Yes","5 years","PS5-compatible gaming drive","5870","15"
"TeamGroup","T-FORCE Z44A7","NVMe SSD","M.2 2280","PCIe 4.0 x4","1 TB - 4 TB","7400","6800","Yes","5 years","Value high-speed drive","5870","10"
"Crucial","T700","NVMe SSD","M.2 2280","PCIe 5.0 x4","1 TB - 4 TB","12400","11800","Yes","5 years","PCIe 5.0 flagship (needs heatsink)","9370","19"
"Crucial","T705","NVMe SSD","M.2 2280","PCIe 5.0 x4","1 TB - 4 TB","14500","12700","Yes","5 years","Fastest consumer tier","10420","24"
"Samsung","9100 PRO","NVMe SSD","M.2 2280","PCIe 5.0 x4","1 TB - 8 TB","14800","13400","Yes","5 years","PCIe 5.0 flagship","10770","11"
"ADATA / XPG","XPG MARS 980","NVMe SSD","M.2 2280","PCIe 5.0 x4","1 TB - 4 TB","14000","12000","Yes","5 years","PCIe 5.0 enthusiast","10000","20"
"Samsung","870 EVO","SATA SSD","2.5-inch","SATA III 6 Gb/s","250 GB - 4 TB","560","530","Yes","5 years","Reliable SATA upgrade for old PCs","1280","11"
"Samsung","870 QVO","SATA SSD","2.5-inch","SATA III 6 Gb/s","1 TB - 8 TB","560","530","Yes","3 years","Bulk QLC storage","1280","23"
"Crucial","MX500","SATA SSD","2.5-inch","SATA III 6 Gb/s","250 GB - 4 TB","560","510","Yes","5 years","Classic SATA workhorse","1275","23"
"Crucial","BX500","SATA SSD","2.5-inch","SATA III 6 Gb/s","240 GB - 2 TB","540","500","No","3 years","Budget laptop / HDD replacement","1265","12"
"Western Digital","WD Blue 3D NAND","SATA SSD","2.5-inch","SATA III 6 Gb/s","250 GB - 4 TB","560","530","Yes","5 years","Mainstream SATA","1280","6"
"Kingston","A400","SATA SSD","2.5-inch","SATA III 6 Gb/s","120 GB - 960 GB","500","450","No","3 years","Cheapest HDD-to-SSD upgrade","1230","10"
"TeamGroup","AX2","SATA SSD","2.5-inch","SATA III 6 Gb/s","256 GB - 2 TB","540","490","No","3 years","Budget shop-fit SSD","1260","21"
"Seagate","BarraCuda","HDD 7200/5400 RPM","3.5-inch","SATA III 6 Gb/s","500 GB - 8 TB","220","220","256 MB cache","2 years","Budget mass storage","1055","19"
"Seagate","IronWolf","HDD 5900/7200 RPM (NAS)","3.5-inch","SATA III 6 Gb/s","1 TB - 12 TB","210","210","64-256 MB cache","3 years","NAS / 24x7 operation","1045","16"
"Seagate","SkyHawk","HDD 5400/7200 RPM (Surveillance)","3.5-inch","SATA III 6 Gb/s","1 TB - 10 TB","210","210","64-256 MB cache","3 years","CCTV / DVR recording","1045","6"
"Western Digital","WD Blue","HDD 5400/7200 RPM","3.5-inch","SATA III 6 Gb/s","500 GB - 8 TB","180","180","64-256 MB cache","2 years","Everyday desktop storage","1025","9"
"Western Digital","WD Black","HDD 7200 RPM","3.5-inch","SATA III 6 Gb/s","500 GB - 10 TB","227","227","64-256 MB cache","5 years","Performance HDD","1060","19"
