"brand","modelName","towerClass","motherboardSupport","maxGpuLengthMm","price","stocks"
"Lian Li","O11 Dynamic EVO","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","423","5155","12"
"Lian Li","Lancool 216","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","392","5110","25"
"Lian Li","Lancool III","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","435","5320","16"
"NZXT","H5 Flow (2024)","Mid Tower","ATX, mATX, Mini-ITX","410","5030","20"
"NZXT","H7 Flow (2024)","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","22"
"NZXT","H9 Flow (2024)","Mid Tower","ATX, mATX, Mini-ITX","435","5130","24"
"Corsair","4000D Airflow","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","360","4920","20"
"Corsair","3500X","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5080","13"
"Corsair","5000D Airflow","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","420","5175","21"
"Corsair","iCUE LINK 6500X RGB","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5080","9"
"Fractal Design","North","Mid Tower","ATX, mATX, Mini-ITX","355","4840","10"
"Fractal Design","Pop Air","Mid Tower","ATX, mATX, Mini-ITX","405","5010","6"
"Fractal Design","Meshify 2 Compact","Mid Tower","ATX, mATX, Mini-ITX","341","4780","12"
"Fractal Design","Torrent","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","461","5520","12"
"Fractal Design","Define 7","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","467","5530","11"
"Phanteks","Eclipse P400A Digital","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","420","5250","25"
"Phanteks","Eclipse G360A","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5120","12"
"Phanteks","XT Pro Ultra","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","18"
"Cooler Master","MasterBox MB520 Mesh","Mid Tower","ATX, mATX, Mini-ITX","410","4970","13"
"Cooler Master","MasterBox TD500 Mesh V2","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","410","4970","13"
"Cooler Master","MasterFrame 360","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","490","5560","12"
"be quiet!","Pure Base 500DX","Mid Tower","ATX, mATX, Mini-ITX","369","5190","3"
"be quiet!","Silent Base 802","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","432","5500","13"
"be quiet!","Shadow Base 800 FX","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","430","5470","17"
"Montech","AIR 903 MAX","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","15"
"Montech","KING 95 PRO","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5040","7"
"Montech","SKY TWO GX","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","15"
"Deepcool","CH510 Mesh Digital","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","380","4850","15"
"Deepcool","CH560 Digital","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","380","4850","16"
"Deepcool","MORPHEUS","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5110","15"
"Thermaltake","Versa H18 / H17","Mid Tower","mATX, Mini-ITX","350","4640","24"
"Thermaltake","View 270 TG ARGB","Mid Tower","E-ATX, ATX, mATX, Mini-ITX","400","5080","14"
