"brand","modelName","wattageW","plusRating","modularity","formFactor","warrantyYears","notes","price","stocks"
"Corsair","CX550 (2023)","550","80+ Bronze","Non-modular","ATX","5","Entry-level budget build","3850","21"
"Corsair","CX650 (2023)","650","80+ Bronze","Non-modular","ATX","5","Common budget gaming pick","4550","22"
"Corsair","CX750 (2023)","750","80+ Bronze","Non-modular","ATX","5","Budget mid-range gaming","5250","23"
"Corsair","CX650M","650","80+ Bronze","Semi-modular","ATX","5","Semi-modular budget","4550","12"
"Corsair","CX750M","750","80+ Bronze","Semi-modular","ATX","5","Semi-modular budget","5250","13"
"Corsair","RM550x","550","80+ Gold","Full-modular","ATX","10","Quiet, zero-RPM mode","4250","8"
"Corsair","RM650x","650","80+ Gold","Full-modular","ATX","10","Long-standing quality pick","4950","9"
"Corsair","RM750x","750","80+ Gold","Full-modular","ATX","10","Popular RTX 4070/7800 XT pairing","5650","10"
"Corsair","RM850x","850","80+ Gold","Full-modular","ATX","10","Popular high-end pairing","6350","11"
"Corsair","RM1000x","1000","80+ Gold","Full-modular","ATX","10","For RTX 4090-class builds","7400","22"
"Corsair","RM650e (ATX 3.1)","650","80+ Gold","Full-modular","ATX","7","Native 12V-2x6 cable","4950","18"
"Corsair","RM750e (ATX 3.1)","750","80+ Gold","Full-modular","ATX","7","Native 12V-2x6 cable","5650","19"
"Corsair","RM850e (ATX 3.1)","850","80+ Gold","Full-modular","ATX","7","Native 12V-2x6 cable","6350","20"
"Corsair","RM1000e (ATX 3.1)","1000","80+ Gold","Full-modular","ATX","7","RTX 5080/5090 capable","7400","6"
"Corsair","HX750","750","80+ Platinum","Full-modular","ATX","10","Premium efficiency","6150","16"
"Corsair","HX850","850","80+ Platinum","Full-modular","ATX","10","Premium efficiency","6850","17"
"Corsair","HX1000","1000","80+ Platinum","Full-modular","ATX","10","Premium efficiency","7900","3"
"Corsair","SF750","750","80+ Platinum","Full-modular","SFX","7","Small form factor builds","6150","9"
"Corsair","SF850 (2024)","850","80+ Platinum","Full-modular","SFX","10","SFF with 12V-2x6","6850","23"
"Seasonic","CORE GM-500","500","80+ Gold","Semi-modular","ATX","7","Compact budget Gold unit","3900","19"
"Seasonic","CORE GM-650","650","80+ Gold","Semi-modular","ATX","7","Value Gold unit","4950","25"
"Seasonic","FOCUS GX-550","550","80+ Gold","Full-modular","ATX","10","Excellent value, hybrid fan mode","4250","22"
"Seasonic","FOCUS GX-650","650","80+ Gold","Full-modular","ATX","10","Excellent value, hybrid fan mode","4950","23"
"Seasonic","FOCUS GX-750","750","80+ Gold","Full-modular","ATX","10","Excellent value, hybrid fan mode","5650","24"
"Seasonic","FOCUS GX-850","850","80+ Gold","Full-modular","ATX","10","Excellent value, hybrid fan mode","6350","25"
"Seasonic","FOCUS GX-1000","1000","80+ Gold","Full-modular","ATX","10","High-wattage value","7400","11"
"Seasonic","VERTEX GX-750","750","80+ Gold","Full-modular","ATX","12","ATX 3.0 with native 12VHPWR","5650","18"
"Seasonic","VERTEX GX-850","850","80+ Gold","Full-modular","ATX","12","ATX 3.0 with native 12VHPWR","6350","19"
"Seasonic","VERTEX GX-1000","1000","80+ Gold","Full-modular","ATX","12","ATX 3.0 with native 12VHPWR","7400","5"
"Seasonic","PRIME PX-850","850","80+ Platinum","Full-modular","ATX","12","Premium tier","6850","6"
"Seasonic","PRIME PX-1000","1000","80+ Platinum","Full-modular","ATX","12","Premium tier","7900","17"
"Seasonic","PRIME TX-750","750","80+ Titanium","Full-modular","ATX","12","Top-tier efficiency","6750","9"
"Seasonic","PRIME TX-1000","1000","80+ Titanium","Full-modular","ATX","12","Top-tier efficiency","8500","21"
"be quiet!","System Power 10 550W","550","80+ Bronze","Non-modular","ATX","5","Budget line","3850","22"
"be quiet!","System Power 10 650W","650","80+ Bronze","Non-modular","ATX","5","Budget line","4550","23"
"be quiet!","System Power 10 750W","750","80+ Bronze","Non-modular","ATX","5","Budget line","5250","24"
"be quiet!","Pure Power 12 M 550W","550","80+ Gold","Full-modular","ATX","10","Quiet mid-range","4250","25"
"be quiet!","Pure Power 12 M 650W","650","80+ Gold","Full-modular","ATX","10","Quiet mid-range","4950","26"
"be quiet!","Pure Power 12 M 750W","750","80+ Gold","Full-modular","ATX","10","Quiet mid-range","5650","27"
"be quiet!","Pure Power 12 M 850W","850","80+ Gold","Full-modular","ATX","10","Quiet mid-range","6350","3"
"be quiet!","Pure Power 12 M 1000W","1000","80+ Gold","Full-modular","ATX","10","Quiet mid-range","7400","14"
"be quiet!","Straight Power 12 750W","750","80+ Platinum","Full-modular","ATX","10","Very quiet premium","6150","19"
"be quiet!","Straight Power 12 850W","850","80+ Platinum","Full-modular","ATX","10","Very quiet premium","6850","20"
"be quiet!","Straight Power 12 1000W","1000","80+ Platinum","Full-modular","ATX","10","Very quiet premium","7900","6"
"be quiet!","Dark Power 13 850W","850","80+ Titanium","Full-modular","ATX","10","Flagship silent unit","7450","19"
"be quiet!","Dark Power 13 1000W","1000","80+ Titanium","Full-modular","ATX","10","Flagship silent unit","8500","5"
"MSI","MAG A550BN","550","80+ Bronze","Non-modular","ATX","5","Entry gaming","3850","18"
"MSI","MAG A650BN","650","80+ Bronze","Non-modular","ATX","5","Entry gaming","4550","19"
"MSI","MAG A750BN","750","80+ Bronze","Non-modular","ATX","5","Entry gaming","5250","20"
"MSI","MAG A650GL","650","80+ Gold","Full-modular","ATX","10","Value ATX 3.0 Gold","4950","22"
"MSI","MAG A750GL","750","80+ Gold","Full-modular","ATX","10","Value ATX 3.0 Gold","5650","23"
"MSI","MAG A850GL","850","80+ Gold","Full-modular","ATX","10","Value ATX 3.0 Gold","6350","24"
"MSI","MAG A1000GL","1000","80+ Gold","Full-modular","ATX","10","Value ATX 3.0 Gold","7400","10"
"MSI","MPG A850G PCIE5","850","80+ Gold","Full-modular","ATX","10","Enthusiast tier","6350","12"
"MSI","MPG A1000G PCIE5","1000","80+ Gold","Full-modular","ATX","10","Enthusiast tier","7400","23"
"Cooler Master","MWE Bronze V2 550","550","80+ Bronze","Non-modular","ATX","5","Budget staple","3850","9"
"Cooler Master","MWE Bronze V2 650","650","80+ Bronze","Non-modular","ATX","5","Budget staple","4550","10"
"Cooler Master","MWE Bronze V2 750","750","80+ Bronze","Semi-modular","ATX","5","Budget staple","5250","11"
"Cooler Master","MWE Gold V2 550","550","80+ Gold","Full-modular","ATX","10","Value Gold","4250","25"
"Cooler Master","MWE Gold V2 650","650","80+ Gold","Full-modular","ATX","10","Value Gold","4950","26"
"Cooler Master","MWE Gold V2 750","750","80+ Gold","Full-modular","ATX","10","Value Gold","5650","27"
"Cooler Master","MWE Gold V2 850","850","80+ Gold","Full-modular","ATX","10","Value Gold","6350","3"
"Cooler Master","GX III Gold 650","650","80+ Gold","Full-modular","ATX","10","ATX 3.0 mainstream","4950","10"
"Cooler Master","GX III Gold 750","750","80+ Gold","Full-modular","ATX","10","ATX 3.0 mainstream","5650","11"
"Cooler Master","GX III Gold 850","850","80+ Gold","Full-modular","ATX","10","ATX 3.0 mainstream","6350","12"
"Cooler Master","V850 Gold V2","850","80+ Gold","Full-modular","ATX","10","Compact high-end","6350","24"
"Cooler Master","V1000 Platinum","1000","80+ Platinum","Full-modular","ATX","10","High-end","7900","19"
"Thermaltake","Smart BX1 550W","550","80+ Bronze","Non-modular","ATX","5","Entry unit","3850","17"
"Thermaltake","Smart BX1 650W","650","80+ Bronze","Non-modular","ATX","5","Entry unit","4550","18"
"Thermaltake","Smart BX1 750W","750","80+ Bronze","Non-modular","ATX","5","Entry unit","5250","19"
"Thermaltake","Toughpower GF1 650W","650","80+ Gold","Full-modular","ATX","10","Mid-range Gold","4950","12"
"Thermaltake","Toughpower GF1 750W","750","80+ Gold","Full-modular","ATX","10","Mid-range Gold","5650","13"
"Thermaltake","Toughpower GF3 850W","850","80+ Gold","Full-modular","ATX","10","ATX 3.0 Gold","6350","16"
"Thermaltake","Toughpower GF3 1000W","1000","80+ Gold","Full-modular","ATX","10","ATX 3.0 Gold","7400","27"
"Thermaltake","Toughpower PF3 1000W","1000","80+ Platinum","Full-modular","ATX","10","Platinum tier","7900","11"
"ASUS","TUF Gaming 550B","550","80+ Bronze","Non-modular","ATX","6","Dust-resistant fan","3850","11"
"ASUS","TUF Gaming 650B","650","80+ Bronze","Non-modular","ATX","6","Dust-resistant fan","4550","12"
"ASUS","TUF Gaming 750B","750","80+ Bronze","Non-modular","ATX","6","Dust-resistant fan","5250","13"
"ASUS","TUF Gaming 750W Gold","750","80+ Gold","Full-modular","ATX","10","Military-grade components","5650","6"
"ASUS","TUF Gaming 850W Gold","850","80+ Gold","Full-modular","ATX","10","Military-grade components","6350","7"
"ASUS","TUF Gaming 1000W Gold","1000","80+ Gold","Full-modular","ATX","10","Military-grade components","7400","18"
"ASUS","ROG STRIX 750W Gold Aura","750","80+ Gold","Full-modular","ATX","10","ARGB, quiet","5650","14"
"ASUS","ROG STRIX 850W Gold Aura","850","80+ Gold","Full-modular","ATX","10","ARGB, quiet","6350","15"
"ASUS","ROG STRIX 1000W Gold Aura","1000","80+ Gold","Full-modular","ATX","10","ARGB, quiet","7400","26"
"ASUS","ROG THOR 1000W Platinum II","1000","80+ Platinum","Full-modular","ATX","10","OLED power display","7900","13"
"Gigabyte","P550B","550","80+ Bronze","Non-modular","ATX","3","Entry unit","3850","14"
"Gigabyte","P650B","650","80+ Bronze","Non-modular","ATX","3","Entry unit","4550","15"
"Gigabyte","P750B","750","80+ Bronze","Non-modular","ATX","3","Entry unit","5250","16"
"Gigabyte","GP-UD750GM","750","80+ Gold","Full-modular","ATX","5","Value Gold","5650","17"
"Gigabyte","GP-UD850GM","850","80+ Gold","Full-modular","ATX","5","Value Gold","6350","18"
"Gigabyte","GP-UD1000GM PG5","1000","80+ Gold","Full-modular","ATX","10","ATX 3.0","7400","15"
"Gigabyte","AORUS P850W","850","80+ Gold","Full-modular","ATX","10","Enthusiast tier","6350","14"
"NZXT","C550 Gold","550","80+ Gold","Full-modular","ATX","10","Seasonic-built","4250","10"
"NZXT","C650 Gold","650","80+ Gold","Full-modular","ATX","10","Seasonic-built","4950","11"
"NZXT","C750 Gold","750","80+ Gold","Full-modular","ATX","10","Seasonic-built","5650","12"
"NZXT","C850 Gold (2022)","850","80+ Gold","Full-modular","ATX","10","Quiet, clean cabling","6350","24"
"NZXT","C1000 Gold ATX 3.1","1000","80+ Gold","Full-modular","ATX","10","For RTX 50-series","7400","21"
"EVGA","500 BR","500","80+ Bronze","Non-modular","ATX","3","Entry unit","3500","22"
"EVGA","600 BR","600","80+ Bronze","Non-modular","ATX","3","Entry unit","4200","23"
"EVGA","SuperNOVA 650 GT","650","80+ Gold","Full-modular","ATX","7","Compact 150mm depth","4950","27"
"EVGA","SuperNOVA 750 GT","750","80+ Gold","Full-modular","ATX","7","Compact 150mm depth","5650","3"
"EVGA","SuperNOVA 850 G6","850","80+ Gold","Full-modular","ATX","10","Quiet, compact","6350","24"
"EVGA","SuperNOVA 1000 G6","1000","80+ Gold","Full-modular","ATX","10","Quiet, compact","7400","10"
"EVGA","SuperNOVA 1000 P6","1000","80+ Platinum","Full-modular","ATX","10","Platinum tier","7900","19"
"FSP","Hydro K PRO 550W","550","80+ Bronze","Non-modular","ATX","5","Value OEM-grade","3850","6"
"FSP","Hydro K PRO 650W","650","80+ Bronze","Non-modular","ATX","5","Value OEM-grade","4550","7"
"FSP","Hydro G PRO 750W","750","80+ Gold","Full-modular","ATX","10","Solid mid-range","5650","4"
"FSP","Hydro G PRO 850W","850","80+ Gold","Full-modular","ATX","10","Solid mid-range","6350","5"
"FSP","Hydro G PRO 1000W","1000","80+ Gold","Full-modular","ATX","10","Solid mid-range","7400","16"
"FSP","Dagger Pro 850W SFX","850","80+ Gold","Full-modular","SFX-L","7","SFF builds","6350","7"
"Super Flower","Leadex III Gold 650W","650","80+ Gold","Full-modular","ATX","7","OEM for many premium brands","4950","26"
"Super Flower","Leadex III Gold 850W","850","80+ Gold","Full-modular","ATX","7","OEM for many premium brands","6350","3"
"Super Flower","Leadex VII Gold 1000W","1000","80+ Gold","Full-modular","ATX","10","ATX 3.0","7400","27"
"Deepcool","PN650M","650","80+ Gold","Full-modular","ATX","5","Compact value Gold","4950","3"
"Deepcool","PN750M","750","80+ Gold","Full-modular","ATX","5","Compact value Gold","5650","4"
"Deepcool","PN850M","850","80+ Gold","Full-modular","ATX","5","Compact value Gold","6350","5"
"Deepcool","PX850G","850","80+ Gold","Full-modular","ATX","10","ATX 3.0 with 12VHPWR","6350","9"
"Deepcool","PX1000G","1000","80+ Gold","Full-modular","ATX","10","ATX 3.0 with 12VHPWR","7400","20"
"ADATA / XPG","Pylon 550W","550","80+ Bronze","Non-modular","ATX","5","Budget unit","3850","27"
"ADATA / XPG","Pylon 650W","650","80+ Bronze","Non-modular","ATX","5","Budget unit","4550","3"
"ADATA / XPG","Core Reactor II 650W","650","80+ Gold","Full-modular","ATX","10","Good value ATX 3.0","4950","21"
"ADATA / XPG","Core Reactor II 750W","750","80+ Gold","Full-modular","ATX","10","Good value ATX 3.0","5650","22"
"ADATA / XPG","Core Reactor II 850W","850","80+ Gold","Full-modular","ATX","10","Good value ATX 3.0","6350","23"
