"brand","modelName","type","radiatorHeight","socketSupport","rgb","notes","price","stocks"
"Cooler Master","Hyper 212 Black Edition","Air (tower)","159 mm","LGA1700/1200/115x, AM5/AM4","No","Long-running budget standard","1100","24"
"Cooler Master","Hyper 212 Halo Black","Air (tower)","159 mm","LGA1851/1700/1200, AM5/AM4","Yes","ARGB version","1100","21"
"Deepcool","AK400","Air (tower)","155 mm","LGA1851/1700/1200, AM5/AM4","No","Excellent budget performer","1100","26"
"Deepcool","AK620","Air (dual tower)","160 mm","LGA1851/1700/1200, AM5/AM4","No","Near-flagship air cooling","1100","5"
"Deepcool","AG400","Air (tower)","150 mm","LGA1700/1200, AM5/AM4","Optional","Compact budget option","1100","22"
"Thermalright","Peerless Assassin 120 SE","Air (dual tower)","155 mm","LGA1851/1700/1200, AM5/AM4","No","Best value high-end air","1100","3"
"Thermalright","Phantom Spirit 120 SE","Air (dual tower)","157 mm","LGA1851/1700/1200, AM5/AM4","No","Successor to Peerless Assassin","1100","18"
"Thermalright","Assassin X 120 Refined SE","Air (tower)","148 mm","LGA1700/1200, AM5/AM4","No","Very cheap, decent performance","1100","14"
"Noctua","NH-U12S redux","Air (tower)","158 mm","LGA1851/1700/1200, AM5/AM4","No","Quiet, compact","1100","16"
"Noctua","NH-U12A","Air (dual tower)","158 mm","LGA1851/1700/1200, AM5/AM4","No","Compact but flagship-class","1100","14"
"Noctua","NH-D15","Air (dual tower)","165 mm","LGA1851/1700/1200, AM5/AM4","No","Long-time air cooling benchmark","1100","10"
"Noctua","NH-D15 G2","Air (dual tower)","168 mm","LGA1851/1700, AM5","No","Current flagship air cooler","1100","13"
"be quiet!","Pure Rock 2","Air (tower)","155 mm","LGA1700/1200, AM5/AM4","No","Quiet budget option","1100","18"
"be quiet!","Dark Rock Pro 5","Air (dual tower)","163 mm","LGA1851/1700/1200, AM5/AM4","No","Near-silent flagship","1100","7"
"ID-COOLING","SE-224-XT / SE-226-XT","Air (tower)","154-160 mm","LGA1700/1200, AM5/AM4","Optional ARGB","Popular budget pick","1100","6"
"Arctic","Freezer 36 CO","Air (dual tower)","159 mm","LGA1851/1700, AM5","No","Strong value, dual-ball bearing","1100","13"
"AMD","Wraith Stealth (stock)","Air (low profile)","54 mm","AM5/AM4","No","Bundled with 65W Ryzen SKUs","1100","3"
"AMD","Wraith Prism (stock)","Air (tower)","75 mm","AM4","Yes","Bundled with older 95-105W Ryzen","1100","26"
"Intel","Laminar RM1 (stock)","Air (low profile)","50 mm","LGA1700","No","Bundled with non-K Intel SKUs","1100","19"
"Cooler Master","MasterLiquid 240L Core ARGB","AIO Liquid","240 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Value 240mm AIO","2900","26"
"Cooler Master","MasterLiquid 360 Atmos","AIO Liquid","360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","High-end 360mm","3400","10"
"Deepcool","LE520 / LE720","AIO Liquid","240 / 360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Strong value AIO","3400","18"
"Deepcool","LS520 SE / LS720 SE","AIO Liquid","240 / 360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Higher-performance value AIO","3400","14"
"Corsair","iCUE H100i ELITE CAPELLIX XT","AIO Liquid","240 mm radiator","LGA1700/1200, AM5/AM4","Yes","Popular 240mm","2900","13"
"Corsair","iCUE H150i ELITE CAPELLIX XT","AIO Liquid","360 mm radiator","LGA1700/1200, AM5/AM4","Yes","Popular 360mm","3400","18"
"Corsair","iCUE LINK TITAN 360 RX RGB","AIO Liquid","360 mm radiator","LGA1851/1700, AM5/AM4","Yes","Single-cable iCUE LINK system","3400","14"
"NZXT","Kraken 240 (2023)","AIO Liquid","240 mm radiator","LGA1700/1200, AM5/AM4","Yes","LCD display variants available","2900","15"
"NZXT","Kraken Elite 360 RGB","AIO Liquid","360 mm radiator","LGA1851/1700, AM5/AM4","Yes","2.36in LCD screen","3400","13"
"Arctic","Liquid Freezer III 240","AIO Liquid","240 mm radiator (38mm thick)","LGA1851/1700, AM5/AM4","Optional ARGB","Best price-performance AIO","2900","4"
"Arctic","Liquid Freezer III 360","AIO Liquid","360 mm radiator (38mm thick)","LGA1851/1700, AM5/AM4","Optional ARGB","Best price-performance AIO","3400","7"
"Lian Li","Galahad II Trinity 360","AIO Liquid","360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Strong performance, clean design","3400","27"
"Thermalright","Frozen Notte 360 ARGB","AIO Liquid","360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Budget 360mm AIO","3400","19"
"ASUS","ROG RYUJIN III 360 ARGB","AIO Liquid","360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","3.5in LCD, Noctua-tuned fans","3400","15"
"MSI","MAG CORELIQUID E360","AIO Liquid","360 mm radiator","LGA1851/1700/1200, AM5/AM4","Yes","Value 360mm","3400","12"
